273158-273445	116052	0-1463240323
273446-273493	108558	1463256413-1463401485
273494-273724	110656	1463401719-1463562182
273725-273727	144357	1463711869-1463769251
273728-274145	102163	1463770947-1464320903
274146-274171	102276	1464387080-1464464804
274172-274239	139439	1464482740-1464585337
274240-274243	127506	1464616771-1464646821
274244-274250	133368	1464647870-1464690452
274251-274313	100520	1464690652-1464761046
274314-274316	175851	1464793435-1464827568
274317-274335	142556	1464827993-1464880630
274336-274344	155754	1464881101-1464917556
274345-274419	285154	1464917864-1465031982
274420-274439	307871	1465071462-1465135457
274440-274441	103134	1465155190-1465174828
274442-274968	248137	1465175108-1465713263
274969-274969	113686	1465713713-1465736982
274970-274998	184453	1465737176-1465808335
274999-274999	143459	1465808684-1465837605
275000-275058	197813	1465838134-1465889604
275059-275072	185520	1465923011-1465959670
275073-275123	128038	1465961566-1465988900
275124-275281	162562	1466013073-1466043874
275282-275308	118585	1466121974-1466153731
275309-275310	266190	1466171319-1466229724
275311-275336	117310	1466230026-1466279470
275337-275343	115121	1466285163-1466307457
275344-275370	121395	1466324325-1466359803
275371-275375	232889	1466360209-1466419862
275376-275656	285682	1466420102-1466492273
275657-275775	115485	1466739152-1466845438
275776-275831	180855	1466845882-1466883649
275832-275834	126692	1466961482-1466983274
275835-275836	152797	1466983462-1467014046
275837-275885	256059	1467014350-1467088713
275886-275910	183832	1467103237-1467138535
275911-275917	150431	1467165013-1467192243
275918-275930	104453	1467192559-1467216351
275931-276241	105409	1467218061-1467354268
276242-276242	206243	1467468346-1467507122
276243-276281	183088	1467507408-1467550228
276282-276282	132587	1467569733-1467594585
276283-276314	116686	1467594861-1467620144
276315-276354	104315	1467631160-1467652259
276355-276362	102718	1467668387-1467691171
276363-276383	144986	1467691655-1467726186
276384-276453	325293	1467726433-1467823531
276454-276501	362224	1467828494-1467954950
276502-276526	338970	1467955290-1468052715
276527-276542	138813	1468053280-1468100032
276543-276543	100433	1468100379-1468122569
276544-276582	178620	1468122843-1468182638
276583-276652	175923	1468182867-1468233850
276653-276658	166899	1468282357-1468319749
276659-276775	154708	1468319953-1468385828
276776-276793	164999	1468386148-1468428637
276794-276809	184446	1468429518-1468490917
276810-276830	244036	1468491344-1468558279
276831-276833	268530	1468568895-1468630373
276834-276934	397519	1468633329-1468746340
276935-276939	101717	1468798833-1468818095
276940-277068	305359	1468829638-1468906254
277069-277070	165709	1468950749-1468982733
277071-277086	159320	1468982916-1469025530
277087-277095	137082	1469036960-1469087430
277096-277111	208980	1469087773-1469136266
277112-277147	121636	1469136573-1469172994
277148-277167	116743	1469183508-1469219285
277168-277179	210546	1469219705-1469271512
277180-277304	236026	1469281107-1469343949
277305-277980	116747	1469409827-1469481983
277981-278166	210967	1470052448-1470133850
278167-278174	214271	1470249556-1470300153
278175-278239	108793	1470300297-1470368478
278240-278272	134891	1470368813-1470399326
278273-278309	220369	1470418677-1470529511
278310-278344	144909	1470530855-1470583611
278345-278348	102678	1470615232-1470635551
278349-278508	282623	1470638021-1470713800
278509-278768	170185	1470767381-1470801550
278769-278800	110330	1471070360-1471089118
278801-278819	292292	1471099441-1471158114
278820-278821	203058	1471172473-1471207807
278822-278872	143063	1471211566-1471249493
278873-278922	142588	1471303573-1471335919
278923-278962	141724	1471349805-1471404036
278963-278974	222260	1471404296-1471450622
278975-279023	111593	1471450996-1471495984
279024-279115	149393	1471559531-1471740375
279116-279652	231811	1471743373-1472186330
279653-279655	201603	1472220350-1472255181
279656-279680	217500	1472255378-1472311420
279681-279714	341254	1472335039-1472409087
279715-279759	273249	1472421712-1472475558
279760-279765	103194	1472502114-1472517491
279766-279766	194944	1472519315-1472558539
279767-279822	220602	1472558882-1472624330
279823-279843	320511	1472637645-1472704737
279844-279931	421819	1472714490-1472884769
