273158-273445	106542	0-1463240323
273446-273493	100265	1463256413-1463401485
273494-273724	101937	1463401719-1463562182
273725-273727	132582	1463711869-1463769251
273728-274159	100140	1463770947-1464447620
274160-274199	126665	1464447772-1464569226
274200-274243	173496	1464569626-1464646821
274244-274250	124001	1464647870-1464690452
274251-274314	101489	1464690652-1464794811
274315-274316	157615	1464795151-1464827568
274317-274335	134131	1464827993-1464880630
274336-274344	143951	1464881101-1464917556
274345-274419	266064	1464917864-1465031982
274420-274439	286226	1465071462-1465135457
274440-274953	176965	1465155190-1465192636
274954-274968	151973	1465638106-1465713263
274969-274969	104950	1465713713-1465736982
274970-274998	171141	1465737176-1465808331
274999-274999	132611	1465808684-1465837605
275000-275058	180672	1465838134-1465889604
275059-275072	174574	1465923011-1465959670
275073-275123	117922	1465961566-1465988900
275124-275281	152789	1466013073-1466043874
275282-275308	110820	1466121974-1466153731
275309-275310	246079	1466171319-1466229724
275311-275336	107442	1466230026-1466279470
275337-275343	107996	1466285163-1466307457
275344-275370	114777	1466324325-1466359803
275371-275375	218797	1466360209-1466419862
275376-275656	262640	1466420102-1466492273
275657-275775	108641	1466739152-1466845438
275776-275831	168035	1466845882-1466883649
275832-275834	119557	1466961482-1466983274
275835-275836	142456	1466983462-1467014046
275837-275885	233600	1467014350-1467088713
275886-275910	172963	1467103237-1467138535
275911-275917	141860	1467165013-1467192243
275918-275962	105536	1467192560-1467220135
275963-276242	284151	1467248594-1467507122
276243-276281	168198	1467507408-1467550228
276282-276282	126867	1467569733-1467594585
276283-276314	111287	1467594861-1467620144
276315-276360	103506	1467631161-1467669152
276361-276383	232925	1467671774-1467726186
276384-276453	310317	1467726433-1467823531
276454-276501	346222	1467828494-1467954950
276502-276526	322716	1467955290-1468052715
276527-276542	132558	1468053280-1468100032
276543-276544	110787	1468100379-1468126543
276545-276582	156056	1468126771-1468182638
276583-276652	167340	1468182867-1468233850
276653-276658	159259	1468282357-1468319749
276659-276775	147706	1468319953-1468385828
276776-276793	157091	1468386148-1468428637
276794-276809	175709	1468429518-1468490917
276810-276811	232014	1468491344-1468558279
