273158-273301	289104	0-1463029161
273302-273402	102825	1463105616-1463195039
273403-273424	102323	1463195125-1463212204
273425-273445	124874	1463224700-1463240323
273446-273447	115312	1463256413-1463267171
273448-273449	141918	1463267510-1463281860
273450-273491	140504	1463282376-1463297458
273492-273501	135041	1463389716-1463406194
273502-273502	204042	1463428823-1463451911
273503-273553	107706	1463452284-1463466224
273554-273554	103803	1463549471-1463557836
273555-273727	701538	1463558149-1463769251
273728-274093	416412	1463770944-1463823202
274094-274160	162473	1464315606-1464452583
274161-274171	173179	1464452776-1464464804
274172-274199	327451	1464482739-1464569226
274200-274239	250417	1464569626-1464585337
274240-274243	519462	1464616771-1464646821
274244-274249	239759	1464647870-1464661693
274250-274250	148188	1464674153-1464681985
274251-274282	227015	1464690652-1464703380
274283-274285	102310	1464751524-1464756985
274286-274314	105014	1464757456-1464794812
274315-274315	225197	1464795151-1464805013
274316-274316	428209	1464805224-1464827568
274317-274335	553217	1464827992-1464880630
274336-274338	326398	1464881101-1464898333
274339-274344	303684	1464898538-1464917556
274345-274387	284040	1464917864-1464989194
274388-274419	845046	1464989556-1465031982
274420-274421	257079	1465071462-1465083634
