272760-272781	13124	0-1462593588
272782-272784	31127	1462609075-1462620447
272785-272785	10608	1462620710-1462624060
272786-272810	93017	1462624170-1462680184
272811-272826	18526	1462712171-1462739541
272827-273012	11717	1462750067-1462862074
273013-273016	49572	1462908015-1462915084
273017-273157	129393	1462916130-1462937537
273158-273289	289104	1462999425-1463029161
273290-273291	15843	1463084270-1463086420
273292-273301	119192	1463086555-1463105268
273302-273401	74595	1463105616-1463116318
273402-273402	28242	1463190592-1463195039
273403-273404	10664	1463195125-1463197120
273405-273407	21194	1463197328-1463200769
273408-273409	52034	1463201523-1463208989
273410-273410	14718	1463209188-1463211265
273411-273425	129065	1463211529-1463240323
273426-273446	18077	1463240690-1463257171
273447-273447	106638	1463257567-1463267171
273448-273448	90823	1463267510-1463276619
273449-273449	51095	1463277027-1463281860
273450-273491	141653	1463282376-1463297482
273492-273492	53491	1463389716-1463395897
273493-273493	45102	1463396148-1463401488
273494-273501	36900	1463401719-1463406199
273502-273502	204636	1463428823-1463451911
273503-273522	107815	1463452284-1463466240
273523-273554	104472	1463488089-1463557836
273555-273588	47237	1463558149-1463562205
273589-273727	639655	1463589519-1463769251
273728-273728	21582	1463770944-1463773235
