273158-273447	120229	0-1463267171
273448-273502	114091	1463267510-1463451911
273503-273727	170529	1463452285-1463769251
273728-274158	118941	1463770947-1464446224
274159-274199	117358	1464446626-1464569225
274200-274243	157254	1464569626-1464646821
274244-274250	112548	1464647870-1464690452
274251-274315	139971	1464690652-1464805012
274316-274334	116701	1464805225-1464834210
274335-274335	101392	1464858663-1464880630
274336-274344	127961	1464881101-1464917556
274345-274419	238128	1464917864-1465031982
274420-274439	255130	1465071462-1465135457
274440-274953	158160	1465155190-1465192636
274954-274968	135931	1465638106-1465713263
274969-274997	166323	1465713713-1465759505
274998-274999	192265	1465791606-1465837604
275000-275058	158331	1465838134-1465889604
275059-275072	154524	1465923010-1465959670
275073-275123	102278	1465961566-1465988900
275124-275281	135070	1466013073-1466043874
275282-275309	153699	1466121974-1466184414
275310-275310	158398	1466184772-1466229724
275311-275337	139058	1466230026-1466295097
275338-275369	119460	1466295335-1466339359
275370-275375	225359	1466353203-1466419862
275376-275656	228055	1466420102-1466492273
275657-275776	110042	1466739152-1466849122
275777-275831	130663	1466849543-1466883649
275832-275834	104249	1466961482-1466983274
275835-275836	123885	1466983462-1467014046
275837-275885	201988	1467014350-1467088712
275886-275910	151565	1467103237-1467138535
275911-275917	123947	1467165013-1467192243
275918-276091	102059	1467192560-1467250694
276092-276242	235890	1467339312-1467507122
276243-276281	144390	1467507408-1467550229
276282-276282	114524	1467569733-1467594585
276283-276314	101469	1467594861-1467620144
276315-276362	179541	1467631160-1467691171
276363-276383	126502	1467691655-1467726186
276384-276453	282966	1467726433-1467823531
276454-276501	316521	1467828494-1467954950
276502-276526	294911	1467955290-1468052715
276527-276542	120576	1468053280-1468100032
276543-276544	100826	1468100380-1468126543
276545-276582	141301	1468126771-1468182638
276583-276652	153382	1468182867-1468233850
276653-276658	144949	1468282357-1468319749
276659-276775	134099	1468319953-1468385828
276776-276793	143775	1468386148-1468428637
276794-276809	159674	1468429518-1468490917
276810-276830	212206	1468491344-1468558279
276831-276833	232732	1468568895-1468630372
276834-276934	343854	1468633329-1468746340
276935-276945	101593	1468798834-1468832949
276946-277068	250827	1468835795-1468906254
277069-277070	142731	1468950749-1468982733
277071-277086	138644	1468982916-1469025530
277087-277095	118601	1469036960-1469087430
277096-277111	181247	1469087773-1469136266
277112-277147	105138	1469136574-1469172994
277148-277167	100772	1469183508-1469219285
277168-277179	183073	1469219705-1469271512
277180-277304	204050	1469281107-1469343949
277305-277980	100591	1469409827-1469481983
277981-278166	180845	1470052448-1470133850
278167-278174	185201	1470249556-1470300153
278175-278272	207150	1470300297-1470399326
278273-278309	187598	1470418677-1470529511
278310-278344	123487	1470530855-1470583611
278345-278365	133870	1470615232-1470651891
278366-278508	193873	1470652606-1470713799
278509-278768	144488	1470767381-1470801550
278769-278803	134895	1471070360-1471108575
278804-278819	196908	1471108805-1471158114
278820-278821	167430	1471172473-1471207806
278822-278872	118696	1471211566-1471249493
278873-278922	117553	1471303573-1471335919
278923-278962	116684	1471349805-1471404036
278963-278974	182984	1471404296-1471450622
278975-279028	121723	1471450996-1471566528
279029-279478	146106	1471573179-1471753805
279479-279652	138230	1472099619-1472186330
279653-279655	164991	1472220351-1472255181
279656-279680	178299	1472255378-1472311420
279681-279714	279569	1472335039-1472409087
279715-279759	223821	1472421712-1472475558
279760-279766	244137	1472502114-1472558539
279767-279822	180997	1472558882-1472624330
279823-279843	262277	1472637645-1472704737
279844-279931	346339	1472714490-1472884769
